STT,Title,Company,Category,Location,State,Hourly_Wage,Annual_Wage,Physical_Demand,English_Requirement,PERM_Success_Rate,SOC_Code,Duties
1,Dining Room Attendant & Cleaner,Pizza Hut Express LLC,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Orlando, FL",FL,$17.38/h,"$36,150/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
2,Kitchen Helper & Dishwasher,Golden Corral Buffet,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Richmond, VA",VA,$16.28/h,"$33,862/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
3,Field Agricultural Worker,Evergreen Nursery & Greenhouses,Nông trại & Nhà kính (Agriculture/Greenhouse),"Apopka, FL",FL,$14.14/h,"$29,411/năm","Nặng (Cúi gập người, môi trường ẩm nóng)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,45-2092,"Hái nấm, thu hoạch rau củ trong nhà màng, cắt tỉa cành cây cảnh trong vườn ươm, phân loại nông sản xuất khẩu."
4,General Laborer - Deboning Department,Mountaire Farms of Delaware,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Millsboro, DE",DE,$19.10/h,"$39,728/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
5,Public Area Cleaner,Best Western Premier,Dọn phòng khách sạn (Housekeeping),"Nashville, TN",TN,$18.11/h,"$37,668/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
6,Dining Room Attendant & Cleaner,Panda Express Operations,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Phoenix, AZ",AZ,$15.00/h,"$31,200/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
7,General Laborer - Deboning Department,Wayne-Sanderson Farms,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Laurel, MS",MS,$17.80/h,"$37,024/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
8,Warehouse Packaging Laborer,Midwest Logistics Services,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Indianapolis, IN",IN,$20.24/h,"$42,099/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
9,Live Hang Laborer,Mountaire Farms of Delaware,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Millsboro, DE",DE,$15.88/h,"$33,030/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
10,Palletizer & Staging Worker,Ohio Valley Logistics LLC,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Columbus, OH",OH,$18.78/h,"$39,062/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
